player.id,player.name,player.number,player.pos,player.grid,id_do_jogo
10229,Cássio,12,G,1:1,814341
2411,Fágner,23,D,2:4,814341
12744,Gil,4,D,2:3,814341
10234,Lucas Piton,6,D,2:2,814341
10225,João Victor,33,D,2:1,814341
12666,Renato Augusto,8,M,3:3,814341
44317,Giuliano,11,M,3:2,814341
278549,Gustavo Mantuan,31,F,3:1,814341
321432,Du Queiroz,37,M,4:3,814341
2294,Willian,10,F,4:2,814341
12764,Roger Guedes,9,F,4:1,814341
195499,Matheus Donelli,32,G,1:1,814342
9876,Fábio Santos,26,D,2:4,814342
2411,Fágner,23,D,2:3,814342
12744,Gil,4,D,2:2,814342
14390,Raul Gustavo,34,D,2:1,814342
44317,Giuliano,11,M,3:3,814342
269442,Gabriel Pereira,38,M,3:2,814342
278549,Gustavo Mantuan,31,F,3:1,814342
321432,Du Queiroz,37,M,4:3,814342
12764,Roger Guedes,9,F,4:2,814342
9620,Gustavo Mosquito,19,F,4:1,814342
195499,Matheus Donelli,32,G,1:1,814357
2411,Fágner,23,D,2:4,814357
12744,Gil,4,D,2:3,814357
10234,Lucas Piton,6,D,2:2,814357
10225,João Victor,33,D,2:1,814357
12666,Renato Augusto,8,M,3:3,814357
44317,Giuliano,11,M,3:2,814357
269442,Gabriel Pereira,38,F,3:1,814357
278549,Gustavo Mantuan,31,F,4:3,814357
321432,Du Queiroz,37,M,4:2,814357
12764,Roger Guedes,9,F,4:1,814357
10229,Cássio,12,G,1:1,814362
9876,Fábio Santos,26,D,2:4,814362
2411,Fágner,23,D,2:3,814362
12744,Gil,4,D,2:2,814362
10225,João Victor,33,D,2:1,814362
12666,Renato Augusto,8,M,3:3,814362
12719,Paulinho,15,M,3:2,814362
13580,V. Cantillo,24,M,3:1,814362
32906,Jô,77,F,4:3,814362
12764,Roger Guedes,9,F,4:2,814362
9620,Gustavo Mosquito,19,F,4:1,814362
10229,Cássio,12,G,1:1,814371
2411,Fágner,23,D,2:4,814371
12744,Gil,4,D,2:3,814371
10234,Lucas Piton,6,D,2:2,814371
10225,João Victor,33,D,2:1,814371
12666,Renato Augusto,8,M,3:3,814371
44317,Giuliano,11,F,3:2,814371
12719,Paulinho,15,M,3:1,814371
278549,Gustavo Mantuan,31,F,4:3,814371
321432,Du Queiroz,37,M,4:2,814371
12764,Roger Guedes,9,F,4:1,814371
10229,Cássio,12,G,1:1,814378
2411,Fágner,23,D,2:4,814378
12744,Gil,4,D,2:3,814378
10234,Lucas Piton,6,D,2:2,814378
10225,João Victor,33,D,2:1,814378
12666,Renato Augusto,8,M,3:2,814378
12719,Paulinho,15,M,3:1,814378
321432,Du Queiroz,37,M,4:3,814378
2294,Willian,10,M,4:2,814378
12764,Roger Guedes,9,F,4:1,814378
9620,Gustavo Mosquito,19,M,5:1,814378
10229,Cássio,12,G,,814388
9876,Fábio Santos,26,D,,814388
2411,Fágner,23,D,,814388
12744,Gil,4,D,,814388
10225,João Victor,33,D,,814388
12666,Renato Augusto,8,M,,814388
44317,Giuliano,11,M,,814388
12719,Paulinho,15,M,,814388
321432,Du Queiroz,37,M,,814388
2294,Willian,10,F,,814388
12764,Roger Guedes,9,F,,814388
10229,Cássio,12,G,,814391
10416,Bruno Melo,27,D,,814391
374,João Pedro,2,D,,814391
14390,Raul Gustavo,34,D,,814391
10225,João Victor,33,D,,814391
13580,V. Cantillo,24,M,,814391
267770,Roni,29,M,,814391
306261,Adson,28,M,,814391
10502,Luan,7,F,,814391
12764,Roger Guedes,9,F,,814391
9620,Gustavo Mosquito,19,M,,814391
10229,Cássio,12,G,1:1,814404
2411,Fágner,23,D,2:4,814404
12744,Gil,4,D,2:3,814404
10234,Lucas Piton,6,D,2:2,814404
10225,João Victor,33,D,2:1,814404
12666,Renato Augusto,8,M,3:3,814404
44317,Giuliano,11,M,3:2,814404
12719,Paulinho,15,M,3:1,814404
