Matchday,Date,Time,Home team,Home team.1,Away team,Away team.1,System of play,Coach,Attendance,Result
1,Sun 16/04/2023,9:00 PM,,Corinthians (13.),,Cruzeiro (14.),4-2-3-1,Fernando Lázaro,41.304,2:1
2,Mon 24/04/2023,12:00 AM,,Goiás (18.),,Corinthians (4.),4-2-3-1,Cuca,10.162,3:1
3,Sat 29/04/2023,11:30 PM,,Palmeiras (4.),,Corinthians (14.),4-2-3-1,Danilo,41.457,2:1
4,Tue 09/05/2023,1:00 AM,,Corinthians (17.),,Fortaleza (2.),4-2-3-1,Vanderlei Luxemburgo,36.512,1:1
5,Fri 12/05/2023,12:30 AM,,Botafogo (1.),,Corinthians (15.),4-1-4-1,Vanderlei Luxemburgo,22.388,3:0
6,Sun 14/05/2023,9:00 PM,,Corinthians (17.),,São Paulo (7.),4-1-4-1,Vanderlei Luxemburgo,41.434,1:1
7,Sun 21/05/2023,9:00 PM,,Flamengo (9.),,Corinthians (17.),4-4-2,Vanderlei Luxemburgo,64.871,1:0
8,Sun 28/05/2023,9:00 PM,,Corinthians (18.),,Fluminense (3.),4-4-2,Vanderlei Luxemburgo,34.624,2:0
9,Sat 03/06/2023,11:30 PM,,América-MG (19.),,Corinthians (14.),3-4-3,Vanderlei Luxemburgo,6.701,2:0
10,Sat 10/06/2023,11:30 PM,,Corinthians (16.),,Cuiabá-MT (14.),3-4-1-2,Vanderlei Luxemburgo,40.512,1:1
11,Thu 22/06/2023,1:00 AM,,Santos (13.),,Corinthians (16.),4-1-4-1,Vanderlei Luxemburgo,12.499,0:2
12,Sat 24/06/2023,9:00 PM,,Athletico-PR (11.),,Corinthians (15.),4-1-4-1,Vanderlei Luxemburgo,30.144,1:0
13,Sun 02/07/2023,4:00 PM,,Corinthians (15.),,RB Bragantino (7.),4-3-3 Attacking,Vanderlei Luxemburgo,42.404,0:1
14,Sat 08/07/2023,11:30 PM,,Atlético-MG (10.),,Corinthians (16.),5-3-2,Vanderlei Luxemburgo,21.086,0:1
15,Tue 19/09/2023,2:00 AM,,Corinthians (15.),,Grêmio (3.),4-1-4-1,Vanderlei Luxemburgo,36.076,4:4
16,Sat 22/07/2023,11:30 PM,,EC Bahia (16.),,Corinthians (14.),3-4-2-1,Vanderlei Luxemburgo,43.716,0:0
17,Sat 29/07/2023,11:30 PM,,Corinthians (14.),,Vasco da Gama (19.),4-3-1-2,Vanderlei Luxemburgo,,3:1
18,Sat 05/08/2023,11:30 PM,,Internacional (12.),,Corinthians (14.),4-3-3 Attacking,Vanderlei Luxemburgo,22.509,2:2
19,Sun 13/08/2023,9:00 PM,,Corinthians (14.),,Coritiba FC (19.),4-2-3-1,Vanderlei Luxemburgo,42.171,3:1
20,Sun 20/08/2023,2:00 AM,,Cruzeiro (12.),,Corinthians (13.),4-3-3 Attacking,Vanderlei Luxemburgo,36.202,1:1
21,Sun 27/08/2023,2:00 AM,,Corinthians (13.),,Goiás (15.),4-3-3 Attacking,Vanderlei Luxemburgo,37.316,1:1
22,Sun 03/09/2023,9:00 PM,,Corinthians (12.),,Palmeiras (2.),4-2-3-1,Vanderlei Luxemburgo,44.371,0:0
23,Fri 15/09/2023,12:00 AM,,Fortaleza (8.),,Corinthians (12.),3-4-1-2,Vanderlei Luxemburgo,32.690,2:1
24,Sat 23/09/2023,1:00 AM,,Corinthians (14.),,Botafogo (1.),4-4-2 double 6,Vanderlei Luxemburgo,37.543,1:0
25,Sat 30/09/2023,11:30 PM,,São Paulo (10.),,Corinthians (11.),4-2-3-1,Mano Menezes,56.735,2:1
26,Sun 08/10/2023,2:00 AM,,Corinthians (13.),,Flamengo (5.),4-2-3-1,Mano Menezes,40.800,1:1
27,Fri 20/10/2023,2:30 AM,,Fluminense (7.),,Corinthians (14.),4-4-2 Diamond,Mano Menezes,36.916,3:3
28,Sun 22/10/2023,11:30 PM,,Corinthians (13.),,América-MG (20.),4-1-4-1,Mano Menezes,38.121,1:1
29,Thu 26/10/2023,2:30 AM,,Cuiabá-MT (11.),,Corinthians (15.),4-1-4-1,Mano Menezes,36.620,0:1
30,Sun 29/10/2023,11:30 PM,,Corinthians (14.),,Santos (16.),4-2-3-1,Mano Menezes,42.248,1:1
31,Wed 01/11/2023,11:00 PM,,Corinthians (14.),,Athletico-PR (7.),4-2-3-1,Mano Menezes,29.870,1:0
32,Sun 05/11/2023,8:00 PM,,RB Bragantino (3.),,Corinthians (13.),4-2-3-1,Mano Menezes,10.797,1:0
33,Thu 09/11/2023,11:00 PM,,Corinthians (14.),,Atlético-MG (6.),4-2-3-1,Mano Menezes,30.348,1:1
34,Sun 12/11/2023,8:00 PM,,Grêmio (2.),,Corinthians (15.),3-4-1-2,Mano Menezes,51.842,0:1
35,Sat 25/11/2023,1:00 AM,,Corinthians (12.),,EC Bahia (17.),4-2-3-1,Mano Menezes,39.403,1:5
36,Wed 29/11/2023,1:30 AM,,Vasco da Gama (16.),,Corinthians (14.),4-2-3-1,Mano Menezes,20.577,2:4
37,Sat 02/12/2023,10:00 PM,,Corinthians (13.),,Internacional (10.),4-4-2,Mano Menezes,40.583,1:2
38,Thu 07/12/2023,1:30 AM,,Coritiba FC (19.),,Corinthians (13.),4-3-3 Defending,Mano Menezes,x,0:2
